Name,SuperPowers,Alignment,Gender
Brigitte,Null,Neutral,Female
D.Va,Null,,Female
DoomFist,Null,,Male
Echo,"Accelerated Development,Agility,Durability,Energy Beams,Energy Blasts,Energy Manipulation,Explosion Manipulation,Flight,Information Analysis,Intelligence,Power Mimicry,Self-Sustenance,Super Speed,Super Strength,Adaptation,Energy Armor,Levitation,Vehicular Mastery",Good,
Genji,"Acrobatics,Agility,Attack Reflection,Cyborgization,Damage Boost,Durability,Intelligence,Jump,Natural Weapons,Non-Physical Interaction,Stealth,Super Speed,Super Strength,Surface Scaling,Wallcrawling,Weapon-based Powers,Weapons Master,Teleportation",Good,Male
Hanzo,"Acrobatics,Agility,Durability,Enhanced Senses,Intelligence,Master Martial Artist,Stealth,Summoning,Super Speed,Super Strength,Surface Scaling,Vibration Manipulation,Weapon-based Powers,Weapons Master,Energy Blasts",Neutral,Male
Junkrat,Null,Bad,Male
Lucio,"Accelerated Healing,Agility,Audio Control,Durability,Force Fields,Master Martial Artist,Sound Manipulation,Statistics Amplification,Super Speed,Marksmanship",Good,Male
McCree,Null,Neutral,Male
Mei,"Agility,Cold Resistance,Cryokinesis,Durability,Intelligence,Marksmanship,Statistics Reduction,Weapon-based Powers,Weapons Master,Accelerated Healing,Force Fields",Good,Female
Mercy,Null,Neutral,Female
Moira,Null,Neutral,Female
Orisa,Null,Neutral,Female
Pharah,"Agility,Durability,Explosion Manipulation,Flight,Intelligence,Marksmanship,Master Martial Artist,Super Speed,Super Strength,Weapons Master",Good,Female
Reaper,"Death Manipulation,Deconstruction,Grappling/Climbing,Marksmanship,Teleportation,Hellfire Manipulation,Master Tactician,Accelerated Development,Acrobatics",Bad,Male
Reinhardt,Null,Neutral,Male
Roadhog,Null,Neutral,Male
Sigma,Null,Neutral,Male
Soldier 76,Null,Neutral,Male
Sombra,"Agility,Durability,Electro-Magnetism Manipulation,Hacking,Intelligence,Invisibility,Marksmanship,Master Martial Artist,Stealth,Super Speed,Super Strength,Technological Possession,Technopath/Cyberpath,Teleportation,Weapons Master,Cyborgization,Enhanced Senses",Neutral,Female
Symmetra,"Creation,Durability,Energy Beams,Energy Blasts,Energy Manipulation,Force Fields,Intelligence,Light Control,Marksmanship,Portal Creation,Reactive Power Level,Super Speed,Super Strength,Agility,Preparation,Statistics Reduction",Neutral,Female
Torbj?rn,Null,Neutral,Male
Tracer,"Agility,Durability,Energy Blasts,Intelligence,Marksmanship,Super Speed,Super Strength,Teleportation,Timeframe Control,Vehicular Mastery,Weapons Master,Explosion Manipulation,Time Manipulation",Good,Female
Tracer,"Acid Manipulation,Acrobatics,Agility,Durability,Enhanced Senses,Information Analysis,Intelligence,Marksmanship,Master Martial Artist,Stealth,Super Speed,Super Strength,Toxin and Disease Control,Vision - Infrared,Vision - Thermal,Weapons Master",Bad,Female
Winston,Null,Neutral,Male
Wrecking Ball,Null,Neutral,Male
Zarya,Null,Neutral,Female
Zenyatta,Null,Neutral,Male
All For One,"Agility,Enhanced Senses,Extrasensory Perception,Information Analysis,Master Martial Artist,Reflexes,Ability Shift,Attack Reflection,Bone Manipulation,Levitation,Longevity,Mind Control,Mind Transfer,Power Absorption,Power Bestowal,Regeneration,Statistics Amplification,Wind Control,Body Puppetry,Teleportation",Bad,Male
All Might,"Acrobatics,Agility,Berserk Mode,Durability,Endurance,Enhanced Senses,Indomitable Will,Intelligence,Jump,Peak Human Condition,Power Bestowal,Reflexes,Shockwaves Generation,Stamina,Statistics Amplification,Super Speed,Super Strength,Transformation,Wind Control,Absolute Condition,Accelerated Development,Accelerated Healing,Adaptation,Cold Resistance,Danger Sense,Dexterity,Energy Resistance,Enhanced Sight,Fire Resistance,Heat Resistance,Invulnerability,Levitation,Longevity,Marksmanship,Master Martial Artist,Master Tactician,Power Absorption Immunity,Social Influencing,Vibration Manipulation,Weather Control,Enhanced Hearing,Flight,Seismic Power,Stealth",Good,Male
Bakugo(One For All),"Enhanced Senses,Explosion Manipulation,Heat Generation,Heat Resistance,Indomitable Will,Lava Manipulation,Super Speed,Super Strength,Acrobatics,Agility,Flight,Jump,Master Martial Artist,Reflexes",Good,Male
Battle Fist,"Super Strength,Size Changing",Good,Male
Best Jeanist,"Cloth Manipulation,Acrobatics,Agility,Reflexes,Web Creation",Good,Male
Camie Utsushimi,Illusions,Good,Female
Cementoss,"Element Control,Terrakinesis",Good,Male
Comicman,"Creation,Terrakinesis",Good,Male
Dabi,"Fire Control,Heat Generation,Cold Resistance,Fire Resistance,Heat Resistance,Flight",Bad,Male
Deku (One For All 100%),"Accelerated Development,Acrobatics,Agility,Bullet Time,Danger Sense,Durability,Emotional Power Up,Energy Blasts,Energy Constructs,Energy Embodiment,Energy Manipulation,Energy Resistance,Enhanced Condition,Flight,Grappling/Climbing,Indomitable Will,Information Analysis,Intelligence,Latent Abilities,Levitation,Master Martial Artist,Master Tactician,Mind Control Resistance,Peak Human Condition,Photographic Reflexes,Power Absorption Immunity,Power Bestowal,Power Mimicry Immunity,Power Modification,Pressure Points,Rage Power,Reactive Power Level,Reflexes,Shockwaves Generation,Smoke Manipulation,Stamina,Statistics Amplification,Super Speed,Super Strength,Supernatural Condition,Tentacles,Weapon Creation,Wind Control,Adaptation,Air Control,Awakened Power,Blessed,Creation,Danmaku,Dexterity,Electrokinesis,Energy Absorption,Enhanced Senses,Extrasensory Perception,Gliding,Instinctive Reaction,Intuitive aptitude,Jump,Marksmanship,Multiple Limbs,Pain Suppression,Photographic Deduction,Physics Manipulation,Power Augmentation,Precognition,Preparation,Projection,Reactive Evolution,Self-Destruction,Social Influencing,Vibration Manipulation,Natural Weapons",Good,Male
Deku,"Air Control,Durability,Indomitable Will,Information Analysis,Intelligence,Master Martial Artist,Peak Human Condition,Reflexes,Shockwaves Generation,Stamina,Statistics Amplification,Super Speed,Super Strength,Supernatural Condition,Accelerated Development,Acrobatics,Adaptation,Agility,Damage Boost,Danger Sense,Dexterity,Emotional Power Up,Endurance,Energy Manipulation,Energy Resistance,Enhanced Condition,Enhanced Senses,Enhanced Touch,Extrasensory Perception,Jump,Marksmanship,Master Tactician,Mind Control Resistance,Power Absorption Immunity,Power Bestowal,Preparation,Pressure Points,Social Influencing,Stealth,Vibration Manipulation,Weapon Creation,Weapons Master,Flight,Levitation,Multiple Personalities,Precognition,Rage Power,Smoke Manipulation,Wind Control",Good,Male
Denki Kaminari,"Electricity Absorption,Electricity Resistance,Electrokinesis,Energy Absorption,Energy Armor",Good,Male
Ectoplasm,"Master Martial Artist,Acrobatics,Agility,Duplication,Ectoplasm Manipulation,Reflexes,Size Changing,Super Breath",Good,Male
Edgeshot,"Acrobatics,Agility,Elasticity,Jump,Reflexes,Size Changing,Stealth,Transformation,Durability Negation",Good,Male
Eijiro Kirishima,"Durability,Natural Armor,Peak Human Condition,Fire Resistance,Heat Resistance,Master Martial Artist,Reflexes",Good,Male
Endeavor,"Peak Human Condition,Danmaku,Enhanced Senses,Fire Control,Fire Resistance,Flight",Good,Male
Eraser Head,"Acrobatics,Agility,Power Nullifier,Cloaking,Jump,Master Martial Artist,Reflexes,Weapon-based Powers",Good,Male
Eri,"Heal,Age Manipulation,Existence Erasure",Good,Female
Fat Gum,"Master Martial Artist,Absorption,Elasticity,Energy Absorption,Natural Armor",Good,Male
Fourth Kind,Null,,
Fumikage Tokoyami,"Acrobatics,Agility,Flight,Jump,Reflexes,Size Changing,Umbrakinesis,Summoning",Good,Male
Gang Orca,"Peak Human Condition,Echolocation,Master Martial Artist,Paralysis,Vibration Manipulation",Good,Male
Gentle Criminal,"Attack Negation,Attack Reflection,Super Speed,Elasticity,Acrobatics,Agility,Flight,Force Fields,Jump,Levitation,Master Martial Artist,Reflexes",Neutral,Male
Gigantomachia,"Pain Suppression,Enhanced Senses,Master Martial Artist",Bad,Male
Gran Torino,"Peak Human Condition,Super Speed,Acrobatics,Agility,Master Martial Artist,Wind Control,Flight",Good,Male
Hanta Sera,"Cloth Manipulation,Creation",Good,Male
Hawks,"Danmaku,Enhanced Hearing,Enhanced Sight,Flight,Telekinesis,Weapons Master",Neutral,Male
Himiko Toga,"Acrobatics,Agility,Master Martial Artist,Power Mimicry,Reflexes,Shapeshifting,Stealth,Transformation,Weapons Master",Bad,Female
Hiryu Rin,"Durability,Animal Attributes,Marksmanship,Natural Armor",Good,Male
Hitoshi shinso,Mind Control,Neutral,Male
Hound Dog,"Animal Attributes,Animal Oriented Powers,Enhanced Senses,Enhanced Smell,Enhanced Hearing",Good,Male
Ibara Shiozaki,"Enhanced Senses,Plant Control,Electricity Resistance,Hair Manipulation",Good,Female
Inasa Yoarashi,"Flight,Wind Control,Indomitable Will,Levitation",Good,Male
Invisible Girl,"Invisibility,Stealth,Light Control",Good,Female
Jurota Shishida,"Durability,Intelligence,Stamina,Super Speed,Super Strength,Electricity Resistance,Enhanced Hearing,Enhanced Senses,Enhanced Sight,Enhanced Smell,Jump,Transformation,Size Changing",Good,Male
Juzo Honenuki,"Intelligence,Melting,Reflexes",,
Kamui Woods,"Acrobatics,Agility,Jump,Master Martial Artist,Reflexes,Transformation",Good,Male
Katsuki Bakugo,"Acrobatics,Agility,Explosion Manipulation,Heat Resistance,Jump,Master Martial Artist,Reflexes,Flight",Good,Male
Kendo Rappa,"Master Martial Artist,Reflexes",Bad,Male
Koji Koda,Animal Control,Good,Male
Kojiro Bondo,Substance Secretion,Good,Male
Kosei Tsuburaba,"Air Control,Energy Constructs",Good,Male
Kurogiri,"Portal Creation,Spatial Manipulation,Teleportation,Non-Corporeal",Bad,Male
Kyoka Jiro,"Enhanced Hearing,Audio Control,Shockwaves Generation,Sonic Scream",Good,Female
La Brava,"Hacking,Love Inducement,Power Augmentation",Bad,Female
La Brava,"Endurance,Hair Manipulation,Marksmanship,Master Martial Artist,Master Tactician,Natural Weapons,Reflexes,Stamina,Statistics Amplification,Weapons Master,Agility,Dexterity,Enhanced Senses,Enhanced Sight,Information Analysis,Precognition",,
Lemillion,"Peak Human Condition,Intangibility,Master Martial Artist",,
Mashirao Ojiro,"Acrobatics,Agility,Master Martial Artist,Reflexes",Good,Male
Mei Hatsume,"Enhanced Sight,Intelligence,Vision - Telescopic,Information Analysis",Good,Female
Mezo Shoji,"Enhanced Senses,Gliding,Organic Manipulation,Regeneration,Master Martial Artist",Good,Male
Midnight,"Acrobatics,Agility,Reflexes,Sleep Manipulation,Weapons Master,Love Inducement,Smoke Manipulation,Substance Secretion",Good,Female
Mina Ashido,"Acid Manipulation,Acrobatics,Agility,Jump,Master Martial Artist,Reflexes",Good,Female
Minoru Mineta,"Hair Manipulation,Weapon-based Powers",Good,Male
Mirko,"Animal Attributes,Animal Oriented Powers,Durability,Enhanced Hearing,Super Speed,Super Strength,Acrobatics,Agility,Dexterity,Endurance,Jump,Master Martial Artist,Reflexes,Supernatural Condition",Good,Female
Momo Yaoyorozu,"Agility,Creation,Reflexes,Weapon Creation,Weapons Master",Good,Female
Mount Lady,"Size Changing,Transmutation",Good,Female
Mr. Compress,"Durability,Paralysis,Petrification,Sealing,Acrobatics,Agility,Reflexes,Dexterity,Jump,Marksmanship,Master Martial Artist,Matter Manipulation,Shapeshifting,Transformation,Transmutation,Weapon Creation",Bad,Male
Ms. Joke,"Compassion Inducement,Empathy,Master Martial Artist,Paralysis",Good,Female
Muscular,"Peak Human Condition,Super Strength,Master Martial Artist,Statistics Amplification,Biokinesis",Bad,Male
Neito Monoma,Power Mimicry,Good,Male
Nejire Hado,"Energy Manipulation,Flight,Power Absorption Immunity,Vibration Manipulation",Good,Female
Nezu,"Intelligence,Enhanced Hearing,Enhanced Memory,Enhanced Senses,Enhanced Sight,Enhanced Smell,Information Analysis,Mechanical Aptitude",Good,Male
Nirengeki Shoda,"Intelligence,Damage Boost",Good,Male
Ochaco Uraraka,"Acrobatics,Agility,Gravity Control,Master Martial Artist,Reflexes",Good,Female
Overhaul,"Master Martial Artist,Acrobatics,Agility,Deconstruction,Element Control,Fusion,Matter Manipulation,Molecular Manipulation,Reflexes,Transmutation,Vitakinesis,Resurrection",Bad,Male
Pony Tsunotori,"Animal Attributes,Animal Oriented Powers,Marksmanship,Flight,Levitation,Weapon Creation",Good,Female
Power Loader,Weapon Creation,Good,Male
Present Mic,"Master Martial Artist,Sound Manipulation,Shockwaves Generation,Vibration Manipulation",Good,Male
Re-Destro,"Master Martial Artist,Size Changing,Transformation",Bad,Male
Recovery Girl,"Heal,Accelerated Healing",Good,Female
Reiko Yanagi,"Telekinesis,Master Tactician",Good,Female
Rikido Sato,Statistics Amplification,Good,Male
Rikiya Katsukame,"Master Martial Artist,Power Absorption,Size Changing,Statistics Amplification",Bad,Male
Seiji Shishikura,"Matter Manipulation,Organic Manipulation,Petrification,Transformation,Sealing,Shapeshifting,Transmutation",Good,Male
Sen Kaibara,"Agility,Master Martial Artist,Organic Manipulation",Good,Male
Setsuna Tokage,"Intelligence,Accelerated Healing,Levitation,Regeneration,Stealth,Organic Manipulation",Good,Female
Shemage,Plant Control,,
Shoto Todoroki,"Cold Resistance,Cryokinesis,Durability,Fire Control,Fire Resistance,Heat Generation,Heat Resistance,Intelligence,Peak Human Condition,Stamina,Super Speed,Super Strength,Accelerated Development,Acrobatics,Agility,Danger Sense,Dexterity,Endurance,Enhanced Senses,Indomitable Will,Jump,Master Martial Artist,Reflexes,Stealth,Wind Control,Flight",Good,Male
Sir Nighteye,"Intelligence,Agility,Marksmanship,Precognition,Weapon-based Powers",Good,Male
Snipe,"Homing Attack,Marksmanship,Weapon-based Powers,Weapons Master",Good,Male
Spinner,"Gliding,Acrobatics,Agility,Jump,Reflexes,Vehicular Mastery,Weapons Master",Bad,Male
Stain,"Acrobatics,Agility,Jump,Paralysis,Reflexes,Social Influencing,Weapons Master",Bad,Male
Star And Stripe,"Ability Shift,Acrobatics,Bullet Time,Causality Manipulation,Chaos Manipulation,Conceptual Manipulation,Death Manipulation,Energy Blasts,Enhanced Condition,Enhanced Senses,Entropy Projection,Fate Manipulation,Intelligence,Law Manipulation,Life Manipulation,Master Tactician,Matter Manipulation,Peak Human Condition,Power Augmentation,Power Bestowal,Power Modification,Reactive Power Level,Reflexes,Stamina,Statistics Amplification,Subjective Reality,Transmutation,Truth Manipulation,Wishing,Acausality,Agility,Element Control,Energy Constructs,Energy Manipulation,Flight,Gadget Usage,Latent Abilities,Light Control,Master Martial Artist,Metaphysics Manipulation,Molecular Immobilization,Non-Physical Interaction,Nothingness Aspect Manifestation,Origin Manipulation,Pataphysics Manipulation,Physics Manipulation,Power Nullifier,Projection,Psionic Powers,Reactive Evolution,Reality Warping,Statistics Reduction,Status Effect Inducement,Weather Control",Good,
Tamaki Amajiki,"Acrobatics,Agility,Changing Armor,Creation,Flight,Master Martial Artist,Reflexes,Toxin and Disease Control,Transformation,Weapon Creation,Organic Manipulation,Power Mimicry",Good,Male
Tenya Ida,"Acrobatics,Agility,Cyborgization,Flight,Master Martial Artist,Reflexes,Statistics Amplification,Vehicular Mastery",Good,Male
Tetsutetsu Tetsutetsu,"Durability,Natural Armor,Peak Human Condition,Super Strength,Cold Resistance,Fire Resistance,Heat Resistance,Master Martial Artist,Reflexes,Transformation",Good,Male
Thirteen,"Absorption,Black Hole Manipulation,Matter Absorption",Good,Female
Togaru Kamakiri,"Weapon Creation,Weapons Master,Master Martial Artist",Good,Male
Tomura Shigaraki (All For One),"Absorption,Accelerated Development,Accelerated Healing,Air Control,Attack Reflection,Biokinesis,Blessed,Bone Manipulation,Damage Boost,Danmaku,Death Touch,Decay Embodiment,Deconstruction,Electrokinesis,Enhanced Condition,Explosion Manipulation,Extrasensory Perception,Fear Inducement,Flight,Illusions,Indomitable Will,Information Analysis,Insanity,Longevity,Master Martial Artist,Mind Control Resistance,Molecular Dissipation,Pain Suppression,Peak Human Condition,Photographic Reflexes,Power Absorption,Power Augmentation,Power Bestowal,Power Mimicry,Power Modification,Power Nullifier,Projection,Radiation Control,Rage Power,Regeneration,Shockwaves Generation,Social Influencing,Statistics Amplification,Statistics Reduction,Super Strength,Supernatural Condition,Teleportation,Vision - Infrared,Weapon Creation,Wing Manifestation,Ability Shift,Acrobatics,Adaptation,Apathy,Bloodlust,Body Puppetry,Bullet Time,Corruption,Damage Reduction,Enhanced Touch,Fear Manipulation,Information Manipulation,Instinctive Reaction,Molecular Manipulation,Multiple Personalities,Natural Weapons,Organic Manipulation,Pain Manipulation,Physics Manipulation,Preparation,Radar Sense,Radiation Immunity,Reactive Evolution,Reflexes,Self-Sustenance,Sonar,Tentacles,Weapons Master,Willpower Manipulation,Summoning",Bad,Male
Tomura Shigaraki,"Absorption,Accelerated Healing,Agility,Awakened Power,Death Touch,Decay Embodiment,Durability,Endurance,Enhanced Senses,Enhanced Sight,Enhanced Touch,Flight,Power Absorption,Radar Sense,Reflexes,Regeneration,Super Speed,Super Strength,Weather Control",Bad,Male
Tsuyu Asui,"Acrobatics,Agility,Animal Attributes,Animal Oriented Powers,Camouflage,Master Martial Artist,Paralysis,Reflexes,Toxin and Disease Control,Organic Manipulation",Good,Female
Twice,"Duplication,Insanity,Multiple Personalities",Bad,Male
Vantablack,"Shadow Manipulation,Phasing,Umbrakinesis",Good,Male
Vlad King,"Blood Manipulation,Weapon Creation",Good,Male
Yosetsu Awase,"Stealth,Organic Manipulation,Subatomic Manipulation",,
Yuga Aoyama,"Energy Beams,Energy Blasts,Energy Constructs,Energy Manipulation,Light Control",Good,Male
Yui Kodai,"Intelligence,Matter Manipulation",Good,Female
A.M.A.Z.O,"Adaptation,Agility,Cold Resistance,Durability,Electricity Resistance,Endurance,Energy Beams,Energy Blasts,Energy Resistance,Enhanced Hearing,Enhanced Memory,Enhanced Senses,Enhanced Sight,Enhanced Smell,Enhanced Touch,Fire Resistance,Flight,Force Fields,Gravity Control,Heat Resistance,Immortality,Indestructible Digestion,Information Analysis,Intelligence,Interstellar Travel,Invulnerability,Jump,Lantern Power Ring,Levitation,Power Absorption,Power Mimicry,Reactive Power Level,Reflexes,Robotic Engineering,Shapeshifting,Size Changing,Spaceflight,Stamina,Super Speed,Super Strength,Toxin and Disease Resistance,Vision - Cryo,Vision - Heat,Vision - Infrared,Vision - Microscopic,Vision - Night,Vision - Telescopic,Vision - Thermal,Vision - X-Ray,Accelerated Healing,Bullet Time,Dimensional Awareness,Electro-Magnetism Manipulation,Electrokinesis,Energy Constructs,Fire Control,Heat Generation,Illusions,Intangibility,Light Control,Master Martial Artist,Mind Blast,Phasing,Portal Creation,Power Absorption Immunity,Regeneration,Self-Sustenance,Spatial Awareness,Stealth,Telekinesis,Telepathy,Invisibility",Bad,
Abel Cuvier,"Acrobatics,Agility,Animal Attributes,Durability,Endurance,Enhanced Senses,Enhanced Sight,Enhanced Smell,Intelligence,Stamina,Super Speed,Super Strength,Accelerated Healing,Enhanced Hearing,Enhanced Memory,Fire Resistance,Longevity,Animal Oriented Powers",,
Ace,"Illusions,Mind Control,Telekinesis,Telepathy,Mind Control Resistance,Power Bestowal,Psionic Powers,Reality Warping",Neutral,Female
Ace Arn,"Agility,Electrokinesis,Endurance,Flight,Intelligence,Magnetism,Stamina,Super Speed,Super Strength,Accelerated Healing,Cosmic Awareness,Interstellar Travel,Godly Physiology,Invulnerability",,
Adam Strange,"Durability,Energy Beams,Flight,Spaceflight,Stamina,Endurance,Energy Blasts,Interstellar Travel,Power Suit",,Male
Alfred Pennyworth,Intelligence,,
All-Star,"Energy Manipulation,Flight",Good,Female
Amanda Waller,"Intelligence,Social Influencing,Weapon-based Powers",,
Amazo (Anti-life),"Nigh-Omnipotence,Nigh-Omnipresence,Nigh-Omniscience",Bad,
Aqua-Girl,Null,Good,Female
Aquaman,"Animal Control,Cyborgization,Durability,Stamina,Sub-Mariner,Super Speed,Super Strength,Telepathy,Underwater breathing,Weapons Master,Accelerated Healing,Acrobatics,Agility,Cold Resistance,Dexterity,Electrokinesis,Element Control,Empathy,Endurance,Energy Manipulation,Enhanced Hearing,Enhanced Sight,Enhanced Smell,Fire Resistance,Heat Resistance,Jump,Longevity,Marksmanship,Master Martial Artist,Master Tactician,Mind Control,Reflexes,Stealth,Water Control,Weapon-based Powers,Invulnerability",Good,Male
Ares,Null,,
Aresia,"Agility,Dexterity,Endurance,Intelligence,Master Martial Artist,Master Tactician,Reflexes,Stamina,Swordsmanship,Weapons Master,Accelerated Healing,Acrobatics,Cold Resistance,Heat Resistance,Jump,Pain Suppression,Pressure Points,Regeneration,Toxin and Disease Resistance",Bad,Female
Atom,Null,,
B'wana Beast,Null,,
Baby-Doll,Null,,
Bane,"Durability,Master Martial Artist,Master Tactician,Super Strength,Preparation,Statistics Amplification,Stealth,Supernatural Condition",Bad,Male
Bat-Mite,"Accelerated Healing,Cold Resistance,Dimensional Awareness,Dimensional Travel,Durability,Endurance,Enhanced Hearing,Flight,Gliding,Higher Dimensional Manipulation,Immortality,Interstellar Travel,Invisibility,Invulnerability,Longevity,Magic Resistance,Matter Manipulation,Mind Control Resistance,Necromancy,Plot Manipulation,Reality Warping,Shapeshifting,Size Changing,Stamina,Super Speed,Super Strength,Time Manipulation Resistance,Timeframe Control,Toxin and Disease Resistance,Bullet Time,Electrokinesis,Element Control,Energy Manipulation,Enhanced Memory,Enhanced Senses,Enhanced Sight,Fate Resistance,Illusions,Indomitable Will,Insanity,Intangibility,Magic,Mind Blast,Mind Control,Telepathy Resistance,Time Manipulation,Time Travel,Weather Control,Existence Erasure Resistance",,
Batgirl,Null,,
Batman,"Agility,Durability,Gliding,Hacking,Indomitable Will,Information Analysis,Intelligence,Marksmanship,Master Martial Artist,Master Tactician,Peak Human Condition,Stamina,Stealth,Vehicular Mastery,Weapons Master,Acrobatics,Adaptation,Dexterity,Explosion Manipulation,Intuitive aptitude,Mechanical Aptitude,Reflexes,Vision - Night,Vision - X-Ray,Weapon-based Powers,Electrokinesis,Fear Manipulation,Power Suit",Good,Male
Bibbo Bibbowski,Null,,Male
Big Barda,"Endurance,Heat Resistance,Immortality,Intelligence,Master Martial Artist,Stamina,Super Speed,Super Strength,Toxin and Disease Resistance,Weapons Master,Accelerated Healing,Cold Resistance,Electricity Resistance,Energy Resistance,Indomitable Will,Invulnerability,Reflexes,Agility,Flight",,
Bizarro,Null,,Male
Black Adam,Null,,Male
Black Canary,"Acrobatics,Agility,Intelligence,Master Martial Artist,Peak Human Condition,Sonic Scream,Stamina,Endurance,Stealth",,Male
Black Mask,Null,,
Black Siren,Null,,
Booster Gold,"Cold Resistance,Durability,Flight,Heat Resistance,Intelligence,Stamina,Super Speed,Super Strength,Energy Armor,Energy Beams,Energy Blasts,Energy Resistance,Interstellar Travel,Invulnerability,Levitation,Power Suit,Time Travel,Toxin and Disease Resistance,Time Manipulation Resistance",,Male
Boss Biggis,Null,,
Boxy Bennett,Null,,
Brainiac,"Durability,Energy Absorption,Energy Armor,Energy Beams,Flight,Hacking,Immortality,Intelligence,Interstellar Travel,Nanotechnology,Stamina,Super Speed,Super Strength,Toxin and Disease Resistance,Accelerated Healing,Agility,Duplication,Electricity Resistance,Endurance,Energy Blasts,Energy Manipulation,Energy Resistance,Enhanced Hearing,Enhanced Sight,Heat Resistance,Illusions,Indomitable Will,Levitation,Longevity,Mechanical Aptitude,Power Suit,Radar Sense,Radiation Control,Radiation Immunity,Reactive Power Level,Shapeshifting,Size Changing,Telekinesis,Vision - Infrared,Vision - Microscopic,Vision - Night,Vision - Telescopic,Vision - Thermal,Vision - X-Ray,Time Travel",Bad,Male
Brainiac 5,"Hacking,Information Analysis,Intelligence,Nanotechnology,Accelerated Healing,Agility,Bionics,Cold Resistance,Energy Absorption,Energy Armor,Energy Beams,Energy Blasts,Energy Constructs,Energy Resistance,Fire Resistance,Flight,Force Fields,Heat Resistance,Immortality,Indomitable Will,Interstellar Travel,Power Suit,Radiation Absorption,Radiation Immunity,Regeneration,Shapeshifting,Size Changing,Spaceflight,Technological Possession,Technopath/Cyberpath,Toxin and Disease Resistance,Invulnerability,Resurrection",Bad,Male
Brainiac/Luthor (Brainiac fusion with Lex Luthor),Null,,
Brimstone,Null,,
Bronze Tiger,Null,Good,Male
Brother Blood (Power of the Titans),"Accelerated Development,Agility,Animal Attributes,Animal Oriented Powers,Cold Resistance,Dexterity,Durability,Electrokinesis,Endurance,Energy Beams,Energy Blasts,Enhanced Condition,Fire Resistance,Flight,Force Fields,Heal,Heat Generation,Heat Resistance,Intelligence,Jump,Latent Abilities,Levitation,Longevity,Natural Armor,Natural Weapons,Peak Human Condition,Seismic Power,Shapeshifting,Stamina,Super Speed,Super Strength,Terrakinesis,Transformation,Accelerated Healing,Acrobatics,Berserk Mode,Bullet Time,Changing Armor,Dark Arts,Dark Magic,Energy Constructs,Enhanced Hearing,Enhanced Senses,Enhanced Sight,Enhanced Smell,Indomitable Will,Invulnerability,Magic,Marksmanship,Master Martial Artist,Master Tactician,Reflexes,Swordsmanship,Telekinesis,Vaporising Beams,Wallcrawling,Weapon-based Powers,Insanity",Bad,Male
Calendar Man,Null,,
Captain Clown,Null,,
Captain Marvel,"Accelerated Healing,Adaptation,Agility,Clairvoyance,Cold Resistance,Dexterity,Divine Powers,Durability,Electricity Absorption,Electricity Resistance,Electrokinesis,Endurance,Energy Blasts,Energy Manipulation,Fire Resistance,Flight,Heat Resistance,Indomitable Will,Intelligence,Invulnerability,Jump,Levitation,Longevity,Magic,Reflexes,Self-Sustenance,Stamina,Super Speed,Super Strength,Toxin and Disease Resistance,Age Manipulation,Electro-Magnetism Manipulation,Energy Absorption,Enhanced Hearing,Enhanced Memory,Enhanced Senses,Enhanced Sight,Enhanced Smell,Godly Physiology,Magic Resistance,Master Tactician,Teleportation,Transformation",Good,Male
Catwoman,"Acrobatics,Agility,Peak Human Condition,Stamina,Endurance,Enhanced Thievery,Stealth",Good,Female
Cheetah,Null,,
Chimera,Null,,
Chuckco,"Durability,Super Strength,Enhanced Thievery,Fear Inducement,Weapon-based Powers",,Male
Circe,"Accelerated Healing,Animal Control,Divinity,Durability,Endurance,Illusions,Intelligence,Magic,Stamina,Age Manipulation,Agility,Animal Oriented Powers,Clairvoyance,Cloth Manipulation,Energy Absorption,Energy Blasts,Energy Manipulation,Energy Resistance,Fire Resistance,Flight,Force Fields,Godly Physiology,Immortality,Indomitable Will,Jump,Levitation,Life Manipulation,Love Inducement,Magic Resistance,Matter Manipulation,Mind Blast,Mind Control Resistance,Projection,Radiation Immunity,Reflexes,Regeneration,Telekinesis,Teleportation,Transmutation,Invulnerability,Necromancy,Reality Warping",Bad,Female
Clayface,"Durability,Shapeshifting,Stamina,Super Speed,Super Strength,Duplication,Elasticity,Size Changing,Wallcrawling,Self-Sustenance",Bad,Male
Commissioner Gordon,"Intelligence,Weapon-based Powers",Good,Male
Copperhead,"Acidic Spit,Agility,Durability,Acrobatics,Animal Attributes,Animal Oriented Powers,Endurance,Enhanced Thievery,Insanity,Power Suit,Reflexes,Shapeshifting,Size Changing",Bad,Male
Count Dracula,Null,Bad,Male
